battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1146,0,0.5,1,17,0,11,0.6,149,6,2,273,757,409,8,0,19,0,0,0,0
520,1,1.5,1,11,1,56,0.4,84,2,4,1893,1490,837,5,6,17,0,0,0,1
1340,1,2.5,0,7,0,20,0.4,194,4,16,877,684,1043,10,4,12,1,1,0,1
666,0,2.0,1,1,0,30,0.2,170,1,16,849,1197,1046,9,15,3,0,1,1,0
1797,0,0.8,1,6,1,3,0.1,87,6,19,1200,622,3637,18,7,15,0,0,1,3
887,1,2.6,0,3,1,37,0.3,88,7,5,1896,1619,3726,15,1,5,0,1,0,3
1100,1,1.8,1,17,1,20,0.2,94,6,0,1772,1104,2437,6,7,8,0,1,1,2
815,0,2.6,0,5,0,8,0.2,179,3,6,783,1014,2523,10,13,3,0,1,0,1
513,1,2.0,0,8,1,27,0.8,184,4,14,1300,1403,418,5,3,15,1,0,0,0
741,0,1.9,0,8,0,16,0.1,86,1,6,1161,1966,1226,7,14,8,0,0,1,1
1276,0,0.8,0,13,1,48,0.7,175,4,18,1897,1894,903,8,6,10,0,1,1,2
1869,0,0.9,1,7,1,57,0.3,151,2,19,131,804,2872,17,7,9,1,1,1,2
1064,0,2.9,0,18,0,39,0.9,190,3,10,1067,1880,1781,7,10,10,1,1,1,1
1397,1,1.1,1,2,0,4,0.5,194,6,13,1146,1671,1201,17,1,8,0,0,1,1
1863,1,2.9,0,17,1,39,0.4,94,6,12,1159,1808,944,10,8,18,1,1,1,2
591,0,1.8,0,4,1,17,0.6,116,2,19,1390,1156,2418,15,5,14,0,1,0,1
1890,0,0.8,1,13,1,3,0.4,162,6,8,372,761,1778,8,0,12,0,1,0,1
1455,0,0.7,0,3,1,32,0.6,118,5,8,1149,990,1751,18,2,19,0,1,0,2
1978,0,1.0,1,6,1,29,0.2,85,3,15,1462,1237,2303,5,9,18,0,0,1,3
1951,0,2.8,1,19,0,8,1.0,162,2,11,1810,1554,1428,9,4,17,1,1,0,2
1008,1,1.5,0,11,0,31,0.5,136,3,9,1599,1201,3568,9,11,11,1,1,1,2
1275,1,1.5,0,1,0,44,0.4,171,1,5,807,1386,378,13,0,5,1,0,1,1
534,1,1.3,0,10,0,59,0.7,160,3,17,743,1791,1059,12,8,5,1,1,1,0
705,1,0.9,0,13,1,63,0.4,185,3,1,50,511,3142,12,12,12,0,1,0,1
1604,0,1.7,0,15,0,8,0.8,98,1,19,1160,1714,1348,9,6,9,0,0,0,2
1911,0,0.8,0,19,0,37,0.5,142,2,8,1181,1923,3129,12,15,10,0,1,1,3
1525,0,2.6,1,5,0,30,0.7,110,3,18,55,590,318,18,7,17,1,0,0,0
1521,0,1.4,1,3,1,25,0.2,154,4,5,1616,1099,988,14,6,11,0,1,1,2
1913,0,1.4,0,14,0,53,0.9,158,3,1,743,800,3343,11,3,10,0,1,1,2
1065,1,1.7,1,0,1,40,0.8,89,2,14,427,1634,3717,5,9,4,0,1,0,2
1629,0,1.6,1,6,0,5,0.3,186,6,16,442,579,2893,16,0,3,1,0,1,2
1202,1,3.0,0,11,1,30,0.2,166,7,15,1934,1335,1913,11,16,10,1,1,1,2
901,1,1.9,0,9,0,45,0.4,146,1,7,325,1151,1203,15,12,14,1,0,1,0
1229,1,0.7,1,4,1,6,1.0,141,6,9,639,932,3585,12,12,7,1,0,1,2
661,1,2.0,0,11,0,56,0.3,82,2,9,1661,916,2520,7,8,5,0,0,0,2
701,0,0.9,1,17,1,30,0.5,97,5,17,828,1737,734,13,4,15,0,0,0,0
1495,1,0.6,0,9,1,63,0.1,104,7,9,79,1970,1393,12,0,12,0,0,1,1
769,1,2.9,1,5,0,31,0.5,186,6,8,473,517,2252,6,1,3,0,0,1,1
1315,1,2.4,1,11,1,30,0.6,99,3,18,376,1577,1659,10,10,4,1,1,1,1
1794,0,3.0,1,6,1,27,1.0,137,7,0,1892,1245,3985,8,3,6,0,1,0,3
955,0,1.7,1,17,0,20,0.6,172,3,3,918,739,1232,7,8,8,0,1,0,1
1985,0,1.8,0,1,0,27,0.8,165,1,2,332,1345,492,15,4,12,1,1,0,1
1775,1,0.9,0,9,1,38,0.6,129,3,9,1198,917,2779,10,4,13,0,0,0,2
1516,1,1.1,1,14,0,28,0.1,158,7,11,1680,1355,2210,14,7,12,0,1,0,2
795,0,2.6,1,11,0,31,0.4,182,4,17,440,1967,853,17,1,14,1,1,1,0
1219,1,1.4,0,16,0,52,0.6,89,4,19,125,1098,1958,13,6,5,1,0,0,1
837,0,2.6,0,3,1,54,1.0,100,6,5,1717,1646,2432,6,16,15,0,1,0,2
1378,0,2.3,1,6,1,31,0.9,198,2,1,218,919,2813,14,10,13,0,0,1,1
1576,1,0.9,1,8,1,4,0.3,195,1,9,947,715,420,14,14,3,0,1,0,1
1291,1,1.8,1,18,1,60,0.3,108,5,1,277,1943,2580,14,2,9,0,1,1,1
716,1,2.2,1,6,1,59,0.3,175,6,8,1508,1208,2560,9,12,14,0,0,1,2
1263,1,1.1,1,1,1,44,0.9,89,2,9,594,1050,3459,10,17,2,1,1,0,2
687,0,2.6,0,5,1,8,0.9,92,1,1,934,1465,3295,8,2,6,0,1,0,1
879,0,1.9,1,17,0,62,0.8,126,7,7,140,1751,825,11,1,12,0,1,0,0
992,0,0.9,0,5,1,50,0.5,102,1,16,845,1760,3584,6,4,12,0,1,0,2
1564,0,2.0,0,12,1,58,0.6,129,7,16,1007,1853,396,11,4,14,0,0,1,1
1680,0,3.0,0,18,0,10,0.5,166,6,3,1630,1332,941,6,12,3,0,1,1,2
514,1,0.9,1,1,0,54,0.3,174,2,17,876,1992,942,5,7,17,0,0,0,0
564,0,2.5,0,11,0,42,0.6,83,2,11,1729,1179,3536,15,15,6,0,0,1,2
1020,0,1.0,0,14,1,43,0.1,195,3,16,109,986,3019,9,17,15,0,1,1,1
1867,0,2.5,0,13,0,14,0.2,192,5,8,1075,1122,3326,6,15,6,0,0,1,3
1652,1,2.3,0,5,1,16,0.9,146,4,18,1638,1938,3846,12,0,10,1,1,0,3
1147,1,1.3,1,17,1,55,0.8,164,3,13,612,718,2294,16,7,13,1,0,1,1
1995,1,1.3,1,4,1,6,0.5,132,1,13,1677,1220,1330,16,1,17,0,0,1,2
1586,1,2.5,0,17,0,30,0.6,81,5,16,712,880,1782,16,4,16,0,0,1,1
1662,0,1.7,0,2,0,36,0.4,147,5,1,1342,586,1538,12,14,18,0,0,0,2
1092,0,2.3,1,2,1,28,0.8,144,2,7,1222,1984,2481,5,13,16,0,1,1,2
891,1,0.9,1,9,1,28,0.8,158,5,4,795,1314,1177,8,2,4,0,1,1,1
918,1,2.6,1,18,1,9,0.8,136,6,6,728,910,2846,18,6,18,0,1,1,1
788,0,2.3,0,2,0,33,0.8,176,5,15,1069,1190,3683,13,3,14,1,1,1,2
878,0,2.8,1,11,1,21,0.3,149,1,15,504,1512,1597,9,10,10,0,0,1,1
730,1,0.8,0,15,0,11,0.4,86,6,16,1563,1024,1945,16,11,14,1,1,1,1
1517,1,2.0,0,16,1,14,0.5,98,6,6,1537,946,3266,15,14,17,1,1,1,3
540,1,2.0,1,6,0,30,0.4,123,3,19,1918,799,619,14,5,15,1,1,0,1
1551,1,1.4,0,12,1,36,0.8,142,5,7,1040,907,1334,17,0,9,1,0,0,1
634,0,1.6,1,1,0,62,0.4,144,2,7,314,874,3483,10,17,4,1,0,0,1
700,0,0.6,0,3,0,55,0.2,118,7,10,1459,732,1323,7,13,19,1,0,0,1
1279,0,2.4,1,9,0,9,0.5,162,3,14,1411,1137,2896,9,6,17,1,0,0,2
1429,1,1.9,0,6,0,30,1.0,188,2,17,76,1149,2286,18,9,15,1,0,0,1
1556,1,0.6,0,16,0,32,0.3,105,5,5,977,1460,2845,16,8,17,1,1,1,2
1571,0,2.2,1,19,0,42,0.7,123,3,11,898,1572,2625,17,1,18,0,0,0,2
1002,0,1.7,1,5,1,31,0.5,91,5,14,1394,685,2951,17,7,12,0,1,0,2
906,0,0.6,1,18,1,23,0.2,101,1,5,1188,1728,2317,17,0,14,1,0,0,1
1304,0,2.9,1,4,1,22,0.5,156,3,17,1632,577,1636,5,1,12,1,0,0,2
598,1,2.9,0,9,1,13,0.7,171,2,19,1640,1909,1762,12,6,5,1,0,1,1
1183,0,1.8,1,8,0,12,0.6,93,1,8,1047,693,873,15,15,15,0,0,1,1
1225,0,0.7,1,12,1,3,0.9,165,4,7,711,1626,614,10,3,6,0,0,1,1
1460,0,2.4,0,18,0,51,0.4,109,2,13,1058,1899,1597,16,16,5,1,0,1,2
1112,0,1.7,1,5,0,42,0.2,123,7,18,1537,786,3402,6,3,2,1,1,0,2
1985,0,1.3,1,3,0,3,0.9,163,5,18,1824,749,2238,8,2,15,1,0,1,3
1142,0,1.7,0,2,1,35,0.4,187,2,7,1867,1724,1870,8,8,8,1,0,0,2
1528,0,1.8,1,2,0,4,0.6,170,4,1,853,1035,449,13,14,11,1,1,1,1
1741,1,1.9,1,3,1,17,0.8,117,2,3,1484,1984,618,13,2,3,1,0,0,2
1002,1,1.6,1,4,1,52,0.4,138,1,5,1161,799,1375,9,11,11,0,0,0,1
1266,1,2.0,1,7,1,5,0.7,121,6,2,1872,1606,1319,16,14,4,0,1,1,2
897,1,2.8,1,15,1,24,0.2,131,2,2,1597,1308,3071,7,7,9,0,1,1,2
1370,0,1.4,1,2,1,58,0.4,142,3,18,1834,957,2700,5,11,11,1,0,1,3
1294,1,2.3,0,11,0,51,0.2,140,7,10,708,1190,362,10,12,9,1,0,1,1
892,1,2.7,1,7,0,21,0.8,199,4,9,1912,1821,3344,12,14,15,0,0,1,2
706,0,1.6,0,12,1,26,0.3,184,2,11,1594,1887,782,5,10,19,0,0,1,1
1538,0,1.6,0,3,0,31,0.7,113,4,13,264,1217,2208,15,16,10,1,0,1,1
1391,1,2.0,0,13,1,19,0.9,118,6,17,332,539,3314,5,11,10,0,0,0,2
1984,1,2.0,0,13,0,43,0.6,120,1,8,187,1863,1039,15,17,5,0,1,1,1
1363,0,2.5,1,12,0,12,0.6,187,3,14,1086,607,3826,11,15,4,0,1,0,2
1242,1,1.7,1,5,0,30,0.5,116,5,2,819,1839,2828,11,2,15,0,1,0,2
1764,0,3.0,1,16,0,18,0.4,144,2,10,1302,1637,2038,6,8,15,1,1,1,2
1063,0,0.6,0,3,0,27,0.5,197,1,9,1565,1690,2005,7,6,17,1,0,0,2
1520,0,0.5,1,7,0,57,0.6,158,4,17,1194,760,3990,6,4,6,1,1,1,3
595,0,2.1,1,16,0,58,1.0,111,6,3,1526,1747,1322,10,9,16,1,0,0,1
984,1,1.2,1,2,0,24,0.9,87,7,12,1556,1785,2929,17,11,10,0,0,1,2
1930,0,1.1,0,16,0,57,0.9,176,4,5,298,1774,2121,17,7,8,0,1,1,1
730,0,1.3,0,8,0,53,0.9,97,7,12,200,1025,3920,12,2,14,0,0,1,1
1248,1,1.1,1,1,0,49,0.5,124,6,19,1158,1209,2653,12,10,9,1,1,1,2
1694,0,0.6,0,12,0,21,0.7,172,7,4,271,625,3980,5,7,13,1,1,1,2
1040,1,2.9,0,19,0,46,0.9,175,6,19,534,1729,3357,15,12,5,1,1,0,1
1559,1,1.1,1,1,1,3,0.5,112,1,13,1465,1663,1720,13,9,17,1,1,1,2
1024,1,2.3,0,19,0,25,1.0,84,2,12,1110,1585,1261,15,17,7,0,1,1,1
1683,0,2.4,0,10,0,32,0.5,161,5,13,30,1806,2845,12,11,6,1,0,0,1
1766,1,2.8,1,14,0,28,0.6,191,2,7,1144,553,3782,13,6,2,0,1,1,3
1609,1,0.6,0,10,0,3,0.7,153,3,15,68,845,1890,17,10,15,0,0,0,1
1077,0,2.7,0,2,0,58,1.0,115,2,12,1669,635,3265,18,9,10,0,0,1,2
1181,1,1.8,0,2,0,15,0.3,176,6,14,882,829,349,17,2,19,1,0,0,1
1056,1,2.1,0,11,1,5,0.8,102,6,18,960,1667,3622,13,6,7,1,0,1,2
1512,1,2.1,0,4,1,50,0.6,119,3,0,826,1959,3876,15,3,16,0,1,1,2
1145,1,2.5,0,19,1,14,0.3,84,4,1,1519,1805,2299,16,7,17,0,0,0,2
1295,1,1.3,0,6,0,37,0.8,113,6,17,923,635,3202,10,7,9,1,1,0,2
1551,0,2.3,0,6,0,36,0.6,103,3,18,1169,1312,344,7,5,6,1,0,0,1
1863,1,1.8,1,12,0,45,0.7,96,6,7,983,1351,2209,5,12,15,1,1,0,2
1854,1,2.5,1,8,1,55,0.4,174,5,2,1356,1924,2806,15,11,8,1,1,0,3
1871,0,3.0,1,12,0,56,0.5,150,6,13,480,1370,3070,12,2,5,0,1,1,2
1996,0,1.0,1,11,0,9,0.7,160,1,8,1929,1391,2297,14,5,2,0,1,1,3
1754,0,3.0,0,12,1,3,0.5,171,3,7,1286,1972,2517,7,10,5,0,1,0,2
689,1,0.7,1,9,1,7,0.3,181,7,16,292,1134,1701,17,3,15,0,0,0,0
1748,0,0.5,1,0,0,32,1.0,101,2,15,1452,1168,781,11,14,17,0,0,0,2
1908,1,0.6,0,7,0,55,0.6,94,3,9,85,1793,2495,17,1,8,0,0,1,1
1900,1,1.4,0,15,0,11,0.8,180,4,9,1039,1540,2086,14,14,11,1,0,1,2
1806,0,2.1,0,12,0,45,0.5,94,6,5,727,768,2997,10,16,11,0,1,0,2
1132,0,0.7,0,2,1,22,0.4,193,3,16,627,1360,2945,7,1,5,1,0,1,1
1127,1,0.5,0,2,0,43,0.5,193,5,15,117,981,3551,10,6,13,1,0,0,1
1472,0,2.8,1,4,0,11,0.5,104,3,14,269,1742,810,16,15,7,0,0,1,1
1782,1,2.6,0,10,1,24,0.6,132,5,13,1418,1842,2690,7,4,14,1,0,0,3
1882,0,2.5,1,6,0,4,0.6,100,6,3,978,1761,936,17,15,2,0,0,0,2
1209,0,2.7,1,9,0,33,0.5,198,2,3,854,784,3079,17,1,9,0,1,1,2
1979,0,2.3,0,9,1,21,0.2,181,6,1,161,1560,1753,18,14,17,1,1,1,1
1934,1,0.8,1,19,1,11,0.5,145,4,10,699,602,1887,13,3,6,1,0,0,2
1148,0,1.5,1,1,0,30,0.3,170,1,3,1127,1953,458,17,1,8,1,1,0,1
817,1,2.3,0,2,1,42,0.2,192,2,15,1676,1291,3313,5,9,4,1,0,1,2
1748,1,1.2,1,7,1,53,0.9,111,2,3,166,738,702,17,4,3,1,1,0,1
1757,1,2.2,1,10,0,52,0.6,100,1,0,299,1240,3203,12,17,3,1,1,0,2
1183,1,0.6,1,12,1,47,0.7,147,3,18,27,1144,3395,9,3,11,1,0,0,1
1163,0,1.3,0,6,0,35,0.5,123,6,1,1447,1648,1371,8,0,10,1,1,0,2
1897,1,1.9,0,12,0,38,0.9,162,3,8,1807,1381,1033,5,17,19,1,0,0,2
1995,1,2.1,0,1,0,21,0.7,145,3,12,561,1106,2481,13,5,7,0,0,0,2
1756,0,1.9,1,5,0,62,0.8,169,6,17,882,687,1942,17,13,7,0,1,1,2
1636,1,2.2,0,8,1,62,0.4,177,4,15,155,1387,1084,13,9,11,1,1,1,1
941,0,0.5,1,19,0,9,1.0,93,2,15,1347,1779,814,17,17,10,1,1,0,1
1063,1,0.8,0,1,0,8,0.8,94,5,9,1371,1486,3330,9,8,10,1,1,0,2
1791,0,2.7,1,17,0,7,0.9,99,1,8,1144,1423,2278,18,11,4,0,0,1,2
1909,1,2.2,0,15,0,12,0.3,113,2,10,651,1293,358,15,9,13,0,0,0,1
1910,0,0.8,0,11,1,45,0.3,115,3,3,1551,1029,1552,13,5,12,1,0,1,2
1636,1,2.6,1,6,1,19,0.4,162,1,9,820,1175,1813,14,13,15,1,0,1,2
1451,1,1.1,0,6,1,52,0.3,88,5,2,560,891,371,18,7,11,1,0,0,1
1604,0,1.7,1,16,0,43,0.9,150,2,5,1187,1991,1114,13,13,6,1,0,0,2
1198,0,0.9,0,12,1,58,0.1,109,2,2,1085,1776,2767,11,10,10,0,1,0,2
612,0,2.3,0,10,1,30,0.2,156,4,8,1363,1171,359,12,15,2,0,0,1,1
501,0,2.2,1,5,0,26,0.3,170,2,2,1689,1360,2562,5,5,16,1,0,1,2
1141,1,1.0,1,13,1,22,0.3,142,2,17,311,1699,1587,8,14,5,1,1,0,1
719,1,2.7,1,5,0,47,0.3,187,5,7,375,965,3694,14,14,8,0,1,0,1
1354,0,1.5,0,5,1,4,0.8,114,5,7,1369,1338,1184,14,13,7,0,0,0,2
1748,1,1.2,1,1,1,19,0.6,92,1,14,149,1487,3113,8,11,16,1,0,1,2
884,0,0.9,0,19,1,25,0.1,158,3,12,1911,1812,2945,16,1,7,1,1,0,2
1926,0,1.2,1,14,1,48,0.5,125,5,6,584,1573,1062,13,7,8,0,0,1,1
1653,1,0.6,1,16,0,39,0.5,135,1,18,580,503,3326,7,13,4,0,1,0,2
1576,1,2.0,1,7,0,11,0.2,88,2,7,976,1351,3629,16,4,14,0,1,0,2
1229,1,2.6,1,4,1,28,0.7,188,1,9,176,1746,815,14,8,3,1,1,1,0
1939,1,1.9,1,16,0,13,0.7,166,1,16,353,1785,2330,14,12,4,0,0,1,2
746,1,1.0,1,19,1,8,0.7,197,1,0,513,1034,2811,5,8,14,1,0,1,1
1335,1,0.6,0,0,1,18,0.8,115,6,12,308,1402,782,15,13,10,0,1,1,0
1962,1,1.0,1,17,1,2,0.1,196,1,12,118,1899,3078,9,4,19,0,1,1,2
702,0,1.5,0,14,1,59,1.0,183,5,15,1542,1584,3692,11,1,6,0,0,1,2
1707,0,2.4,1,4,1,51,0.8,82,7,8,766,1879,1208,16,6,11,1,0,0,1
622,0,1.0,1,6,1,27,0.9,177,7,9,995,1145,553,8,15,15,1,0,1,0
900,0,2.3,1,17,0,16,0.1,98,7,5,972,523,1032,13,10,18,0,1,0,1
1266,0,2.7,0,5,0,52,0.9,107,7,4,915,1816,616,10,10,4,1,1,0,1
793,1,1.6,0,4,1,61,0.8,102,6,1,477,1056,3973,10,11,8,0,1,0,1
779,0,2.6,1,18,0,34,0.9,183,3,10,1437,1190,759,7,12,10,1,0,1,1
1383,0,1.9,0,9,1,63,0.2,192,1,8,586,855,2232,14,7,6,0,1,1,1
697,0,2.1,1,14,0,38,0.8,188,4,5,350,1369,2891,14,15,5,0,1,0,1
1481,0,1.8,1,9,0,48,1.0,86,7,7,1529,1440,2333,9,0,4,1,1,0,2
1251,0,1.7,0,15,0,32,0.7,184,2,8,194,1074,1718,14,12,14,0,0,0,1
643,0,1.1,0,11,1,36,0.6,155,7,8,1210,528,3667,10,10,10,1,1,1,2
1108,0,1.3,0,17,0,2,1.0,93,7,7,1473,856,2429,18,3,8,0,1,0,2
1724,1,1.2,0,0,1,9,0.5,125,2,11,495,864,851,8,3,9,1,0,1,1
1647,1,1.9,1,15,1,13,0.6,94,6,7,514,1107,1845,17,14,11,0,1,0,1
686,0,0.8,0,5,1,60,0.5,146,2,2,695,908,1645,7,2,2,0,0,1,1
1849,1,2.8,0,2,0,55,0.9,94,2,12,1870,1789,2131,9,1,2,1,0,1,3
963,1,2.3,1,1,0,58,0.2,130,6,18,272,1814,3770,11,5,3,0,1,0,1
1872,1,1.5,0,1,0,20,0.6,167,2,1,879,1066,518,15,7,13,1,0,1,1
1159,1,0.9,0,12,1,26,0.7,195,1,16,51,1676,3239,10,16,14,0,1,0,1
1263,0,2.7,0,8,1,58,0.8,189,7,15,262,718,3175,6,4,15,0,0,0,1
1454,1,2.6,0,15,0,33,0.6,87,3,3,1391,672,3549,5,1,6,0,1,0,3
902,1,2.3,1,4,1,13,0.9,148,6,17,132,1107,2119,9,11,4,0,0,0,1
1869,1,1.2,1,6,0,14,0.9,141,4,13,993,1535,257,9,4,18,1,0,0,1
646,0,1.5,0,12,0,29,0.2,130,6,1,1248,1885,2189,16,9,2,1,0,1,1
1671,0,0.8,0,19,0,2,0.5,142,5,12,309,1357,649,16,8,15,1,1,0,1
1363,0,1.0,1,12,0,52,0.1,147,4,19,1596,1156,561,10,7,7,0,1,1,1
988,0,2.5,0,6,1,7,0.4,157,5,16,1900,1468,1425,7,0,18,1,1,0,2
1428,0,2.3,0,9,0,9,0.6,95,6,14,15,1605,785,5,5,5,1,0,0,0
1050,0,2.0,0,14,0,5,0.9,163,5,19,1764,1863,783,8,10,7,0,0,1,1
837,0,2.7,0,5,0,6,0.9,103,4,4,194,940,3635,8,2,2,1,1,0,1
1371,1,2.0,0,4,0,26,0.2,85,1,6,1786,1116,1220,14,14,10,0,1,0,2
1140,1,1.7,0,1,0,23,0.2,198,6,17,1466,725,926,6,10,5,0,0,1,1
972,1,1.4,0,14,0,29,0.6,136,6,10,302,870,3667,18,4,10,1,0,1,1
650,0,2.9,0,15,0,40,0.6,110,2,17,1071,527,2655,12,15,10,1,0,0,1
1938,0,0.7,0,18,1,24,0.3,85,6,4,1770,1507,3113,10,6,14,1,1,0,3
1821,0,2.8,1,8,1,5,0.9,178,7,12,1144,1494,2512,16,5,18,1,0,0,2
762,0,2.6,1,18,1,53,0.9,158,7,17,1522,515,1213,7,8,4,0,1,0,1
643,0,0.8,1,6,1,5,0.5,108,6,1,831,1800,2508,5,6,7,1,0,0,1
845,1,1.9,0,3,0,63,0.9,146,1,19,561,832,2928,16,2,16,0,1,0,1
1123,1,2.7,0,2,1,48,0.4,154,2,3,1492,982,1969,15,10,15,1,0,0,2
1516,0,1.9,1,19,1,60,0.8,82,3,12,40,1065,976,7,11,14,0,0,0,0
1380,0,2.8,0,10,1,22,0.5,107,5,15,1479,1811,891,12,10,10,1,1,0,2
501,0,2.9,1,0,0,38,0.2,153,4,5,533,613,1294,8,1,16,1,0,1,0
1396,0,1.6,0,5,1,57,0.9,193,3,7,370,537,3161,7,0,15,0,0,1,2
1827,1,1.4,1,10,1,42,0.5,176,2,15,1205,953,3755,17,1,5,1,0,0,3
753,0,2.8,1,0,0,3,0.8,127,7,12,516,1241,2779,15,13,12,1,1,1,1
952,0,2.2,1,6,1,60,0.4,159,7,3,656,665,2601,8,12,3,1,0,1,1
1560,0,0.8,0,5,0,8,0.1,89,7,1,1892,1193,812,15,4,17,1,1,0,2
1683,0,0.6,1,13,1,50,0.2,112,1,8,589,704,1373,8,1,17,0,0,1,1
1514,1,1.9,0,1,0,17,0.5,179,7,17,230,1377,2410,6,16,8,0,0,1,1
508,0,2.8,0,3,1,18,0.7,146,4,16,808,744,3746,8,10,12,1,1,1,1
1756,0,2.6,0,10,1,21,0.4,148,5,7,1371,1856,3605,15,15,13,0,1,1,3
1622,1,2.2,0,14,1,59,0.7,91,6,14,478,1442,383,16,17,5,1,1,1,1
1315,1,0.8,0,17,0,24,0.7,136,6,8,1232,1919,2249,13,7,17,0,1,0,2
707,1,1.1,0,0,1,35,0.7,123,3,16,674,1320,2762,8,1,17,0,1,0,1
1654,0,2.7,0,2,0,12,0.5,92,5,1,1703,1006,293,16,16,8,0,1,1,2
